university,level,source_images,saved_board
University for the Creative Arts,Masters,university-of-the-creative-arts-masters-graduation-set-1.jpg,templates/University for the Creative Arts/Masters/board.png
University for the Creative Arts,Bachelors,university-of-the-creative-arts-bachelors-graduation-set-1.jpg,templates/University for the Creative Arts/Bachelors/board.png
University of the Arts London,Masters,university-of-the-arts-london-masters-graduation-set-1.jpg,templates/University of the Arts London/Masters/board.png
University of the Arts London,Bachelors,university-of-the-arts-london-bachelors-graduation-set-1.jpg,templates/University of the Arts London/Bachelors/board.png
University of the West of England,Bachelors,west-of-england-uwe-bachelors-graduation-set-1.jpg,templates/University of the West of England/Bachelors/board.png
Warwick University,Bachelors,warwick-university-bachelors-graduation-set-1.jpg,templates/Warwick University/Bachelors/board.png
West London University,Masters,university-of-west-london-masters-graduation-set-1.jpg,templates/West London University/Masters/board.png
West London University,Bachelors,university-of-west-london-bachelors-graduation-set-1.jpg,templates/West London University/Bachelors/board.png
Westminster University,Masters,university-of-westminster-masters-graduation-set-1.jpg,templates/Westminster University/Masters/board.png
Westminster University,Bachelors,university-of-westminster-bachelors-graduation-set-1.jpg,templates/Westminster University/Bachelors/board.png
Wimbledon College of Arts,Masters,university-of-the-arts-london-masters-graduation-set-1.jpg,templates/Wimbledon College of Arts/Masters/board.png
Wimbledon College of Arts,Bachelors,university-of-the-arts-london-bachelors-graduation-set-1.jpg,templates/Wimbledon College of Arts/Bachelors/board.png
Winchester University,Masters,winchester-university-masters-graduation-set-1.png,templates/Winchester University/Masters/board.png
Winchester University,Bachelors,winchester-university-bachelors-graduation-set-1.png,templates/Winchester University/Bachelors/board.png
Wolverhampton University,Masters,university-of-wolverhampton-masters-graduation-set-1.jpg,templates/Wolverhampton University/Masters/board.png
Wolverhampton University,Bachelors,university-of-wolverhampton-bachelors-graduation-set-1.jpg,templates/Wolverhampton University/Bachelors/board.png
Worcester University,Masters,university-of-worcester-masters-graduation-set-1.jpg,templates/Worcester University/Masters/board.png
Worcester University,Bachelors,university-of-worcester-bachelors-graduation-set-1.jpg,templates/Worcester University/Bachelors/board.png
Wrexham University,Masters,wrexham-university-masters-graduation-set-1.png,templates/Wrexham University/Masters/board.png
Wrexham University,Bachelors,wrexham-university-bachelors-graduation-set-1.png,templates/Wrexham University/Bachelors/board.png
